######################################################
####### Samson Mano's Varai2D Raw Data ###############
######################################################
[+] End Points, 98
0, -6.0000000885454385, -1.7500000015423811
4, -2.1192762151004003E-07, 1.2499999367665273
12, -7.0000001651152415, -1.7500000015423811
15, -4.0000001296728325, 0.09435192966493479
17, -2.0000001178183218, 0.9784408111364706
18, -3.0323768907141164, 0.6096420696797178
19, -5.084311711182531, -0.7499999956151255
22, -1.0091743707281233, 1.181793850058574
1, -2.1192762151004003E-07, 1.7500000147878567
3, -0.504587291327877, 1.7500000147878567
14, -1.5045872089519532, 1.7500000147878567
13, -2.5161883629811346, 1.7500000147878567
5, -6.0000000885454385, 1.7500000147878567
23, -6.0000000885454385, 2.649095385837268E-08
24, -6.0000000885454385, -0.8749999411665437
25, -5.542155926354941, -1.2500000559758184
11, -3.516188386569026, 1.7500000147878567
29, -6.0000000885454385, 0.8749999941484514
10, -5.172063737585098, 1.7500000147878567
20, -4.344126062077063, 1.7500000147878567
2, -4.542155902767049, -0.32782403076751504
9, -5.2710780221472, 0.2735880015586835
26, -5.000000117939458, 0.9221759324899649
27, -4.172063290141946, 0.9221759324899649
6, -7.0000001651152415, -0.8749999411665437
7, -7.0000001651152415, 2.649095385837268E-08
8, -7.0000001651152415, 0.8749999941484514
16, -7.0000001651152415, 1.7500000147878567
21, -6.500000153321296, -0.8749999411665437
28, -6.500000153321296, 2.649095385837268E-08
30, -6.500000153321296, 0.8749999941484514
31, -6.500000153321296, 1.7500000147878567
32, -9.000000212291026, 0.09435192966493479
33, -9.967623627856106, 0.6096420696797178
34, -11.000000259466807, 0.9784408111364706
35, -11.99082635976973, 1.181793850058574
36, -13.000000306642592, 1.2499999367665273
37, -13.000000306642592, 1.7500000147878567
38, -12.495413333206162, 1.7500000147878567
39, -11.49541330961827, 1.7500000147878567
40, -10.48381236751672, 1.7500000147878567
41, -7.915688595460061, -0.7499999956151255
42, -7.457844380287652, -1.2500000559758184
43, -9.483812343928827, 1.7500000147878567
44, -7.827936992912755, 1.7500000147878567
45, -8.655873820710267, 1.7500000147878567
46, -8.457844403875542, -0.32782403076751504
47, -7.728922708350654, 0.2735880015586835
48, -8.000000188703133, 0.9221759324899649
49, -8.827937016500647, 0.9221759324899649
50, 13.000000306642592, 1.2499999367665273
51, 13.000000306642592, 1.7500000147878567
52, 7.0000001651152415, -1.7500000015423811
53, 6.000000141527351, -1.7500000015423811
54, 9.000000212291026, 0.09435192966493479
55, 9.967623627856106, 0.6096420696797178
56, 11.000000259466807, 0.9784408111364706
57, 11.990825512059207, 1.181793850058574
58, 12.495412485495637, 1.7500000147878567
59, 11.49541330961827, 1.7500000147878567
60, 10.483811519806196, 1.7500000147878567
61, 7.915688595460061, -0.7499999956151255
62, 7.0000001651152415, 2.649095385837268E-08
63, 7.0000001651152415, -0.8749999411665437
64, 7.457844380287652, -1.2500000559758184
65, 9.483811496218305, 1.7500000147878567
66, 7.0000001651152415, 0.8749999941484514
67, 7.0000001651152415, 1.7500000147878567
68, 7.827936145202231, 1.7500000147878567
69, 8.655873820710267, 1.7500000147878567
70, 8.457844403875542, -0.32782403076751504
71, 7.7289218606401295, 0.2735880015586835
72, 8.000000188703133, 0.9221759324899649
73, 8.827937016500647, 0.9221759324899649
74, 6.000000141527351, -0.8749999411665437
75, 6.000000141527351, 2.649095385837268E-08
76, 6.000000141527351, 0.8749999941484514
77, 6.000000141527351, 1.7500000147878567
78, 6.500000153321296, -0.8749999411665437
79, 6.500000153321296, 2.649095385837268E-08
80, 6.500000153321296, 0.8749999941484514
81, 6.500000153321296, 1.7500000147878567
82, 4.000000094351567, 0.09435192966493479
83, 3.032376466858855, 0.6096420696797178
84, 1.9999998352481527, 0.9784408111364706
85, 1.0091737349452308, 1.181793850058574
86, 0.5045867615088, 1.7500000147878567
87, 1.5045867850966916, 1.7500000147878567
88, 2.516187727198242, 1.7500000147878567
89, 5.084311711182531, -0.7499999956151255
90, 5.542155926354941, -1.2500000559758184
91, 3.516187750786133, 1.7500000147878567
92, 5.172063313729837, 1.7500000147878567
93, 4.344126485932325, 1.7500000147878567
94, 4.542155902767049, -0.32782403076751504
95, 5.271077598291938, 0.2735880015586835
96, 5.000000117939458, 0.9221759324899649
97, 4.172063290141946, 0.9221759324899649
[+] Lines, 217
22, 0, 12
30, 15, 18
32, 18, 17
35, 17, 22
36, 22, 4
0, 4, 1
2, 1, 3
14, 22, 3
15, 3, 4
10, 3, 14
16, 17, 14
17, 14, 22
9, 14, 13
18, 18, 13
19, 13, 17
25, 19, 23
3, 0, 24
27, 24, 23
26, 0, 25
28, 25, 19
31, 24, 25
33, 24, 19
8, 13, 11
41, 18, 11
42, 11, 15
24, 23, 29
47, 29, 5
12, 5, 10
20, 10, 20
38, 20, 11
