######################################################
####### Samson Mano's Varai2D Raw Data ###############
######################################################
[+] End Points, 12
0,3999.999682,-2399.999974
1,5999.999682,-2399.999974
2,7999.999762,-2399.999974
3,9999.999894,-2399.999974
4,11999.999987,-2399.999974
5,14000.000189,-2399.999974
6,16000.000318,-2399.999974
7,9999.999894,-400.000026
8,11999.999987,-400.000026
9,7999.999762,-400.000026
10,5999.999682,-400.000026
11,14000.000189,-400.000026
[+] Lines, 21
0, 0, 1
1, 1, 2
2, 2, 3
3, 3, 4
4, 4, 5
5, 5, 6
6, 3, 7
7, 4, 8
8, 2, 9
9, 1, 10
10, 5, 11
11, 4, 11
12, 4, 7
13, 2, 7
14, 2, 10
15, 0, 10
16, 10, 9
17, 11, 6
18, 9, 7
19, 7, 8
20, 8, 11
######################################################
######################################################
